path_a,split_a,stem_a,path_b,split_b,stem_b,min_phash_dist,dhash_dist,cosine_sim,good_matches,ransac_inliers,inlier_ratio,containment_a_in_b,containment_b_in_a,homography_found
C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\test\SANAS_NUEVAS_605.jpg,test,SANAS_NUEVAS_605,C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\SANAS_NUEVAS_148.jpg,train,SANAS_NUEVAS_148,-1,-1,0.9343044757843018,3,0,0.0,0.0,0.0,False
C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\test\SANAS_NUEVAS_177.jpg,test,SANAS_NUEVAS_177,C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\SANAS_NUEVAS_46.jpg,train,SANAS_NUEVAS_46,-1,-1,0.9273585081100464,18,5,0.2777777777777778,0.008707428,0.008707428,True
C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\SANAS_NUEVAS_107.jpg,train,SANAS_NUEVAS_107,C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\val\SANAS_NUEVAS_34.jpg,val,SANAS_NUEVAS_34,-1,-1,0.8812546133995056,18,5,0.2777777777777778,0.0007735092,0.0006188074,True
C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\MINADO_RECORTES_27.jpg,train,MINADO_RECORTES_27,C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\val\MINADO_RECORTES_81.jpg,val,MINADO_RECORTES_81,-1,-1,0.8851727247238159,29,7,0.2413793103448276,0.0069376556,0.008019749,True
C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\MINADO_RECORTES_84.jpg,train,MINADO_RECORTES_84,C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\val\MINADO_RECORTES_2.jpg,val,MINADO_RECORTES_2,-1,-1,0.88149094581604,23,5,0.21739130434782608,7.523443e-05,4.5105833e-05,True
C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\MINEIRO_97.jpg,train,MINEIRO_97,C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\val\MINEIRO_50.jpg,val,MINEIRO_50,-1,-1,0.9126066565513611,18,5,0.2777777777777778,0.019233195,0.019233195,True
C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\test\ROYA_P_A_26.jpg,test,ROYA_P_A_26,C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\ROYA_P_A_15.jpg,train,ROYA_P_A_15,-1,-1,0.8897284865379333,11,4,0.36363636363636365,0.048439678,0.048439678,True
C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\COCO_P_A_36.jpg,train,COCO_P_A_36,C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\val\SANAS_SOCORRO_284.jpg,val,SANAS_SOCORRO_284,-1,-1,0.9170589447021484,25,6,0.24,6.421407e-05,6.421407e-05,True
C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\COCO_P_A_43.jpg,train,COCO_P_A_43,C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\val\COCO_M_A_65.jpg,val,COCO_M_A_65,-1,-1,0.9258872270584106,34,7,0.20588235294117646,0.0014650708,0.002563874,True
C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\test\SANAS_NUEVAS_261.jpg,test,SANAS_NUEVAS_261,C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\SANAS_NUEVAS_490.jpg,train,SANAS_NUEVAS_490,-1,-1,0.928124725818634,32,6,0.1875,0.0028936386,0.0028936386,True
